,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,east london,83,ZA,1572907322,81,-33.02,27.91,66.69,17.02
1,aswan,37,EG,1572907322,24,24.09,32.9,71.6,6.93
2,taman,100,RU,1572907323,76,45.22,36.72,57.0,8.95
3,college,1,US,1572907323,85,64.86,-147.8,19.99,10.29
4,aksarka,100,RU,1572907323,94,66.56,67.8,21.51,16.75
5,fiumicino,40,IT,1572907323,77,41.77,12.23,66.99,11.41
6,pangody,100,RU,1572907323,93,65.85,74.49,16.7,24.72
7,rocha,100,UY,1572907323,96,-34.48,-54.34,60.84,4.14
8,isla vista,1,US,1572907323,52,34.41,-119.86,79.0,10.29
9,faanui,24,PF,1572907323,75,-16.48,-151.75,81.41,8.39
10,hobyo,100,SO,1572907323,78,5.35,48.53,79.05,12.3
11,takab,0,IR,1572907323,54,36.4,47.11,36.82,2.3
12,qaanaaq,88,GL,1572907324,84,77.48,-69.36,9.7,4.32
13,karratha,42,AU,1572907324,43,-20.74,116.85,79.25,20.18
14,half moon bay,75,US,1572907324,87,37.46,-122.43,82.0,9.17
15,puerto ayora,20,EC,1572907324,57,-0.74,-90.35,78.8,17.22
16,hermanus,83,ZA,1572907324,80,-34.42,19.24,66.99,13.0
17,la asuncion,50,AR,1572907324,55,-26.05,-65.39,64.9,3.65
18,mataura,100,NZ,1572907324,91,-46.19,168.86,55.99,8.01
19,jamestown,3,AU,1572907324,30,-33.21,138.6,61.09,6.8
20,bethel,1,US,1572907324,67,60.79,-161.76,19.4,18.34
21,poum,55,MK,1572907325,92,41.28,20.71,47.34,2.84
22,cidreira,100,BR,1572907325,96,-30.17,-50.22,69.84,19.28
23,hobart,20,AU,1572907325,55,-42.88,147.33,59.0,11.41
24,hithadhoo,89,MV,1572907325,72,-0.6,73.08,81.77,5.46
25,albany,90,US,1572907154,37,42.65,-73.75,51.8,9.17
26,salalah,40,OM,1572907325,74,17.01,54.1,80.6,3.36
27,castro,27,CL,1572907325,97,-42.48,-73.76,39.2,3.71
28,butaritari,16,KI,1572907325,70,3.07,172.79,84.47,9.42
29,wageningen,90,NL,1572907325,100,51.98,5.66,50.0,5.82
30,rikitea,100,PF,1572907326,91,-23.12,-134.97,76.1,6.91
31,amahai,14,ID,1572907326,90,-3.31,129.0,84.0,3.83
32,nyandoma,100,RU,1572907326,90,61.67,40.21,23.0,6.38
33,saint-georges,85,CA,1572907057,68,46.12,-70.67,39.0,6.53
34,chumikan,97,RU,1572907326,65,54.72,135.31,23.31,0.6
35,atuona,3,PF,1572907326,73,-9.8,-139.03,80.96,16.58
36,hofn,100,IS,1572907326,86,64.25,-15.21,35.2,8.9
37,costinesti,73,RO,1572907326,88,43.95,28.63,64.0,16.11
38,plymouth,40,GB,1572907310,100,50.37,-4.14,50.0,9.17
39,port alfred,51,ZA,1572907327,86,-33.59,26.89,66.0,8.01
40,vaini,88,IN,1572907327,90,15.34,74.49,68.97,3.0
41,busselton,66,AU,1572907327,71,-33.64,115.35,55.99,0.63
42,djambala,0,CG,1572907327,93,-2.55,14.76,68.7,2.04
43,las vegas,1,US,1572906732,8,36.17,-115.15,75.99,9.17
44,bambous virieux,75,MU,1572907327,88,-20.34,57.76,73.99,9.17
45,bluff,0,AU,1572907327,26,-23.58,149.07,85.15,9.62
46,codrington,0,AU,1572907327,36,-28.95,153.24,80.01,11.41
47,carnarvon,27,ZA,1572907327,23,-30.97,22.13,69.06,9.82
48,brae,82,GB,1572907327,70,60.4,-1.35,46.4,13.87
49,barstow,1,US,1572907328,13,31.46,-103.39,86.0,13.87
50,camacha,40,PT,1572907328,68,33.08,-16.33,71.6,16.11
51,saint-philippe,90,CA,1572907328,56,45.36,-73.48,46.99,13.87
52,qasigiannguit,99,GL,1572907328,61,68.82,-51.19,18.27,4.9
53,vardo,1,US,1572907328,35,39.62,-77.74,57.2,13.87
54,haverfordwest,45,GB,1572907328,87,51.8,-4.97,48.99,13.87
55,whitefish,90,US,1572907328,61,48.41,-114.33,46.4,5.82
56,pocone,51,BR,1572907328,51,-16.26,-56.62,83.3,4.83
57,kapaa,90,US,1572907071,83,22.08,-159.32,77.0,11.41
58,vanavara,47,RU,1572907328,92,60.35,102.28,-1.57,1.66
